game_key,tg,competition,comp_type,date,round_label,side,club_id,person_key,name,jersey,g,a,y,r,matched
4505692,67523675,Premier,league,2014-08-03,S1,home,26895907,35226782,"Taylor, Graham",5,0,0,1,0,name
4505692,67523675,Premier,league,2014-08-03,S1,away,18647016,63568726,"Cruz, Roberto",7,0,0,1,0,name
4505692,67523675,Premier,league,2014-08-03,S1,away,18647016,68854110,"Geegba, Junior",2,0,0,1,0,name
4505692,67523675,Premier,league,2014-08-03,S1,away,18647016,59934563,"Guardado, Yony",16,1,0,0,0,name
4505693,67523675,Premier,league,2014-08-03,S2,home,10350991,69583506,"Horanny, Cameel",26,0,0,1,0,name
4505693,67523675,Premier,league,2014-08-03,S2,home,10350991,10853737,"Walter, Joe",10,0,0,1,0,name
4505693,67523675,Premier,league,2014-08-03,S2,away,10350982,10819984,"Russell, Eric",5,0,0,1,0,name
4505760,67523675,Premier,league,2014-08-10,CHMP,home,18647016,63827271,"Kahsay, Ezana",4,0,0,1,0,name
4505760,67523675,Premier,league,2014-08-10,CHMP,home,18647016,35832771,"Malcolm, Michael",8,0,0,1,0,name
4505760,67523675,Premier,league,2014-08-10,CHMP,away,10350991,60480087,"Fleck, Rick",15,1,0,0,0,name
4505760,67523675,Premier,league,2014-08-10,CHMP,away,10350991,46450011,"Oduro, Kwame",8,0,0,1,0,name
4505760,67523675,Premier,league,2014-08-10,CHMP,away,10350991,59793525,"Pikuzinski, Rudy",9,0,0,1,0,name
4505760,67523675,Premier,league,2014-08-10,CHMP,away,10350991,10853737,"Walter, Joe",10,0,0,1,0,name
4505736,67523675,Premier,league,2014-05-04,,home,10358999,10813839,"English, Steve",8,0,0,1,0,name
4505738,67523675,Premier,league,2014-05-04,,home,10350982,10819992,"Griffiths, Christopher",14,4,0,0,0,name
4505738,67523675,Premier,league,2014-05-04,,away,15295049,91327260,"Cesar, Gabe",20,0,0,1,0,name
4505739,67523675,Premier,league,2014-05-04,,away,26895907,35226719,"Mozg, Ben",24,1,1,0,0,name
4505739,67523675,Premier,league,2014-05-04,,away,26895907,10853741,"Schiappa, Mike",9,1,0,0,0,name
4505737,67523675,Premier,league,2014-05-04,,home,10350976,10817035,"Butcher, Steve",10,1,0,0,0,name
4505737,67523675,Premier,league,2014-05-04,,home,10350976,15875435,"Tiedt, Andrew",9,1,0,0,0,name
4505737,67523675,Premier,league,2014-05-04,,home,10350976,68474549,"Tom, Austin",25,1,0,0,0,name
4505741,67523675,Premier,league,2014-05-04,,home,18647016,18671056,"Rumbo, Miguel",17,1,0,1,0,name
4505741,67523675,Premier,league,2014-05-04,,away,10359050,46400208,"Escobar, Mateo",10,0,0,1,0,name
4505741,67523675,Premier,league,2014-05-04,,away,10359050,68188980,"Nowack, Curt",26,0,1,0,0,name
4505741,67523675,Premier,league,2014-05-04,,away,10359050,68188951,"Pollak, Alex",3,1,0,0,0,name
4505741,67523675,Premier,league,2014-05-04,,away,10359050,68188919,"Raftu, Mike",6,1,1,0,0,name
4505741,67523675,Premier,league,2014-05-04,,away,10359050,59640340,"Sai, Guilford",5,0,0,1,0,name
4505701,67523675,Premier,league,2014-05-11,,home,26895907,26986822,"Grampp, RJ",16,1,0,0,0,name
4505701,67523675,Premier,league,2014-05-11,,home,26895907,26986841,"Lawler, Brendan",10,0,1,0,0,name
4505701,67523675,Premier,league,2014-05-11,,home,26895907,68480221,"Samuels, Asani",19,2,2,0,0,name
4505701,67523675,Premier,league,2014-05-11,,home,26895907,10853741,"Schiappa, Mike",9,1,1,0,0,name
4505701,67523675,Premier,league,2014-05-11,,away,10350976,10817036,"Butcher, Frank",13,0,1,0,0,name
4505701,67523675,Premier,league,2014-05-11,,away,10350976,10817035,"Butcher, Steve",10,2,0,0,0,name
4505701,67523675,Premier,league,2014-05-11,,away,10350976,,"Staniszewski, Bryan",GK,0,1,0,0,
